Time,Pa,P1,first_derivative,second_derivative
0,99754.69,0.36,,
313,98647.2,0.04,-1107.4900000000052,
627,98638.91,0.04,-8.289999999993597,1099.2000000000116
941,98655.05,0.05,16.139999999999418,24.429999999993015
1259,98650.5,0.04,-4.55000000000291,-20.69000000000233
1573,98653.49,0.04,2.9900000000052387,7.540000000008149
1887,98650.25,0.04,-3.2400000000052387,-6.230000000010477
2201,98647.95,0.04,-2.3000000000029104,0.9400000000023283
2519,98640.63,0.04,-7.319999999992433,-5.019999999989523
2833,98630.33,0.04,-10.30000000000291,-2.9800000000104774
3147,98632.08,0.04,1.75,12.05000000000291
3461,98651.07,0.04,18.99000000000524,17.24000000000524
3779,98642.91,0.04,-8.160000000003492,-27.15000000000873
4093,98659.44,0.05,16.529999999998836,24.69000000000233
4407,98650.88,0.04,-8.559999999997672,-25.089999999996508
4721,98654.51,0.04,3.6299999999901047,12.189999999987776
5039,98644.53,0.04,-9.979999999995925,-13.60999999998603
5353,98651.22,0.04,6.690000000002328,16.669999999998254
5667,98644.31,0.04,-6.9100000000034925,-13.60000000000582
5981,98644.89,0.04,0.5800000000017462,7.490000000005239
6299,98646.51,0.04,1.6199999999953434,1.0399999999935972
6613,98649.3,0.04,2.790000000008149,1.1700000000128057
6927,98634.68,0.04,-14.620000000009895,-17.410000000018044
7241,98656.01,0.05,21.330000000001746,35.95000000001164
7560,98646.55,0.04,-9.459999999991851,-30.789999999993597
7875,98636.8,0.04,-9.75,-0.2900000000081491
8189,98650.5,0.04,13.69999999999709,23.44999999999709
8503,98649.24,0.04,-1.2599999999947613,-14.959999999991851
8821,98638.45,0.04,-10.790000000008149,-9.530000000013388
9135,98637.19,0.04,-1.2599999999947613,9.530000000013388
9449,98651.48,0.04,14.289999999993597,15.549999999988358
9763,98648.12,0.04,-3.360000000000582,-17.64999999999418
10081,98647.63,0.04,-0.4899999999906868,2.8700000000098953
10395,98645.13,0.04,-2.5,-2.0100000000093132
10709,98650.72,0.04,5.5899999999965075,8.089999999996508
11023,98654.27,0.04,3.5500000000029104,-2.039999999993597
11341,98645.87,0.04,-8.400000000008731,-11.950000000011642
11655,98659.31,0.05,13.440000000002328,21.84000000001106
11969,98650.27,0.04,-9.039999999993597,-22.479999999995925
12283,98648.61,0.04,-1.6600000000034925,7.379999999990105
12601,98646.64,0.04,-1.9700000000011642,-0.3099999999976717
12915,98631.78,0.04,-14.860000000000582,-12.889999999999418
13229,98631.92,0.04,0.13999999999941792,15.0
13543,98651.31,0.04,19.389999999999418,19.25
13861,98637.95,0.04,-13.360000000000582,-32.75
14175,98642.43,0.04,4.4799999999959255,17.839999999996508
14489,98644.07,0.04,1.6400000000139698,-2.8399999999819556
14803,98659.8,0.05,15.729999999995925,14.089999999981956
15121,98655.15,0.05,-4.650000000008731,-20.380000000004657
15435,98650.42,0.04,-4.7299999999959255,-0.07999999998719431
15749,98618.7,0.03,-31.720000000001164,-26.99000000000524
16063,98610.87,0.03,-7.830000000001746,23.889999999999418
16381,98604.87,0.03,-6.0,1.8300000000017462
16695,98656.56,0.05,51.69000000000233,57.69000000000233
17009,98645.13,0.04,-11.429999999993015,-63.11999999999534
17323,98642.72,0.04,-2.4100000000034925,9.019999999989523
17641,98652.72,0.04,10.0,12.410000000003492
17955,98660.46,0.05,7.740000000005239,-2.2599999999947613
18269,98645.52,0.04,-14.940000000002328,-22.680000000007567
18583,98636.84,0.04,-8.680000000007567,6.259999999994761
18901,98633.0,0.04,-3.8399999999965075,4.8400000000110595
19215,98617.69,0.03,-15.309999999997672,-11.470000000001164
19529,98630.94,0.04,13.25,28.55999999999767
19843,98651.09,0.04,20.14999999999418,6.899999999994179
20161,98649.6,0.04,-1.4899999999906868,-21.639999999984866
20475,98654.41,0.04,4.809999999997672,6.2999999999883585
20789,98655.95,0.05,1.5399999999935972,-3.2700000000040745
21103,98656.3,0.05,0.35000000000582077,-1.1899999999877764
21421,98632.79,0.04,-23.510000000009313,-23.860000000015134
21735,98630.9,0.04,-1.889999999999418,21.620000000009895
22049,98643.99,0.04,13.09000000001106,14.980000000010477
22363,98656.91,0.05,12.919999999998254,-0.17000000001280569
22681,98664.37,0.05,7.459999999991851,-5.460000000006403
22995,98658.8,0.05,-5.569999999992433,-13.029999999984284
23309,98670.41,0.05,11.610000000000582,17.179999999993015
23623,98639.38,0.04,-31.029999999998836,-42.63999999999942
23941,98632.02,0.04,-7.360000000000582,23.669999999998254
24255,98624.48,0.04,-7.540000000008149,-0.180000000007567
24569,98642.2,0.04,17.720000000001164,25.260000000009313
24883,98653.52,0.04,11.320000000006985,-6.399999999994179
25202,98648.12,0.04,-5.400000000008731,-16.720000000015716
25516,98652.95,0.04,4.830000000001746,10.230000000010477
25830,98654.18,0.04,1.2299999999959255,-3.6000000000058208
26144,98639.62,0.04,-14.559999999997672,-15.789999999993597
26462,98628.39,0.04,-11.229999999995925,3.3300000000017462
26776,98620.02,0.03,-8.369999999995343,2.860000000000582
27090,98660.73,0.05,40.70999999999185,49.079999999987194
27404,98648.7,0.04,-12.029999999998836,-52.73999999999069
27722,98657.52,0.05,8.820000000006985,20.85000000000582
28036,98643.73,0.04,-13.790000000008149,-22.610000000015134
28350,98649.0,0.04,5.2700000000040745,19.060000000012224
28664,98643.13,0.04,-5.869999999995343,-11.139999999999418
28982,98641.79,0.04,-1.3400000000110595,4.529999999984284
29296,98649.71,0.04,7.920000000012806,9.260000000023865
29610,98649.07,0.04,-0.6399999999994179,-8.560000000012224
29924,98649.95,0.04,0.8799999999901047,1.5199999999895226
30242,98650.25,0.04,0.3000000000029104,-0.5799999999871943
30556,98659.79,0.05,9.539999999993597,9.239999999990687
30870,98643.13,0.04,-16.65999999998894,-26.199999999982538
31184,98637.49,0.04,-5.639999999999418,11.019999999989523
31502,98637.7,0.04,0.20999999999185093,5.849999999991269
31815,98641.22,0.04,3.5200000000040745,3.3100000000122236
32129,98646.45,0.04,5.2299999999959255,1.709999999991851
32443,98651.63,0.04,5.180000000007567,-0.04999999998835847
32761,98652.4,0.04,0.7699999999895226,-4.410000000018044
33075,98644.76,0.04,-7.639999999999418,-8.40999999998894
33389,98645.2,0.04,0.4400000000023283,8.080000000001746
33703,98635.51,0.04,-9.690000000002328,-10.130000000004657
34021,98641.18,0.04,5.669999999998254,15.360000000000582
34335,98656.21,0.05,15.030000000013388,9.360000000015134
34649,98654.86,0.05,-1.3500000000058208,-16.38000000001921
34963,98648.94,0.04,-5.919999999998254,-4.569999999992433
35281,98645.2,0.04,-3.7400000000052387,2.179999999993015
35596,98632.13,0.04,-13.069999999992433,-9.329999999987194
35910,98641.38,0.04,9.25,22.319999999992433
36224,98660.28,0.05,18.89999999999418,9.64999999999418
36542,98644.05,0.04,-16.229999999995925,-35.129999999990105
36856,98594.57,0.03,-49.479999999995925,-33.25
37170,98546.83,0.01,-47.74000000000524,1.7399999999906868
37484,98634.5,0.04,87.66999999999825,135.4100000000035
37802,98654.83,0.05,20.330000000001746,-67.33999999999651
38116,98660.37,0.05,5.539999999993597,-14.790000000008149
38430,98662.81,0.05,2.4400000000023283,-3.099999999991269
38744,98656.67,0.05,-6.139999999999418,-8.580000000001746
39062,98638.29,0.04,-18.380000000004657,-12.240000000005239
39376,98632.86,0.04,-5.429999999993015,12.950000000011642
39690,98614.49,0.03,-18.369999999995343,-12.940000000002328
40004,98641.88,0.04,27.389999999999418,45.75999999999476
40323,98647.63,0.04,5.75,-21.639999999999418
40637,98649.07,0.04,1.4400000000023283,-4.309999999997672
40951,98680.12,0.05,31.04999999998836,29.60999999998603
41265,98653.63,0.04,-26.489999999990687,-57.539999999979045
41583,98567.56,0.02,-86.07000000000698,-59.5800000000163
41897,98499.71,0.0,-67.84999999999127,18.220000000015716
42211,98518.55,0.01,18.839999999996508,86.68999999998778
42525,98638.65,0.04,120.09999999999127,101.25999999999476
42843,98648.27,0.04,9.620000000009895,-110.47999999998137
43157,98642.38,0.04,-5.889999999999418,-15.510000000009313
43471,98680.38,0.05,38.0,43.88999999999942
43785,99324.26,0.24,643.8799999999901,605.8799999999901
44103,100909.41,0.7,1585.1500000000087,941.2700000000186
44417,101846.19,0.97,936.7799999999988,-648.3700000000099
44731,99376.08,0.25,-2470.1100000000006,-3406.8899999999994
45045,101254.55,0.8,1878.4700000000012,4348.580000000002
45363,101640.63,0.91,386.08000000000175,-1492.3899999999994
45677,101519.38,0.88,-121.25,-507.33000000000175
45991,101441.93,0.85,-77.45000000001164,43.79999999998836
46310,101848.3,0.97,406.3700000000099,483.82000000002154
46622,101571.63,0.89,-276.66999999999825,-683.0400000000081
46936,101536.84,0.88,-34.79000000000815,241.8799999999901
47250,101307.66,0.81,-229.17999999999302,-194.38999999998487
47568,101301.8,0.81,-5.860000000000582,223.31999999999243
47882,101174.62,0.78,-127.18000000000757,-121.32000000000698
48196,101113.91,0.76,-60.70999999999185,66.47000000001572
48510,101084.39,0.75,-29.520000000004075,31.189999999987776
